x1,x2,x3,y
6.7548,0.1501,2.1001,51.0122
7.0903,5.3531,1.3478,40.5237
4.7973,0.1788,1.8746,42.9435
2.7895,3.8993,3.1798,36.4532
2.9840,3.5356,4.2377,46.6873
7.2833,2.0415,1.6219,46.0242
9.6149,2.0196,1.3710,54.8448
6.4335,4.8428,3.9189,51.4243
5.8261,5.8387,2.5141,34.8094
6.5667,5.1702,3.3094,44.6985
7.3411,0.2749,1.9116,50.8317
3.0951,0.6060,2.1119,39.4236
6.7212,2.1890,2.4807,48.5858
9.4299,3.8882,3.4365,59.2214
2.5402,4.3748,1.6536,22.7512
6.7600,3.3417,3.7385,56.4379
8.5857,4.6560,1.9162,47.7319
3.4097,1.2659,4.7716,51.9042
8.8873,1.8881,3.6218,57.4786
5.1297,1.5893,1.9865,44.8479
6.0523,1.5764,3.3383,53.3132
2.9739,5.9852,3.0381,30.9324
1.8182,0.2827,1.4386,29.6145
4.7994,0.3812,2.5265,43.7237
9.9651,3.1747,4.8843,68.1624
7.4865,4.0903,3.1479,49.7851
3.4014,3.8458,1.4462,27.7266
9.5843,5.2551,2.0536,49.3870
5.5053,1.0719,4.6505,58.7813
6.7505,3.6538,1.6114,39.7770
7.8626,3.2363,4.1145,57.6213
3.9174,0.1169,4.7164,55.0876
8.9085,4.9900,2.2301,51.7296
9.5225,0.5139,2.9440,63.7200
1.6229,4.5636,4.0633,37.6297
5.9482,1.5903,4.4897,58.7526
4.8082,1.2708,3.1572,47.5005
3.8054,5.9709,3.5995,36.1424
4.9429,3.1055,1.4840,36.3255
6.2948,1.3807,1.8809,47.3212
1.6389,3.7866,1.9158,30.2063
1.6377,1.4280,3.6759,38.2176
2.9281,0.7939,4.7421,48.8660
8.0616,4.8450,1.7616,42.3262
1.8724,2.5863,2.6943,30.7530
7.0603,5.9050,1.3937,37.0041
4.6236,2.0358,4.4467,52.0436
5.0375,2.5313,2.1142,41.9200
3.2483,5.5396,2.7725,34.1565
1.4553,5.9957,4.3441,32.1605
9.7210,5.5582,4.3948,61.1780
2.9237,2.4062,1.2345,32.1261
4.4108,5.9119,2.0608,32.1808
4.8071,5.7439,4.9817,45.6885
6.0019,4.3104,1.6192,35.9579
6.2126,3.2532,3.9919,57.1305
1.5145,3.5051,3.0114,33.2945
9.6470,0.4807,1.7433,55.7610
6.3553,4.0513,1.9408,43.7346
3.2159,3.5671,3.4775,42.7773
4.7730,3.5020,3.0911,44.0105
7.4457,1.4321,2.5831,51.8494
7.0452,1.8000,2.2647,48.8683
5.1246,5.9907,4.9844,47.5380
1.6593,1.2789,2.0608,36.4923
8.9134,2.2172,1.6310,48.7812
8.5037,4.2212,3.4467,57.2066
1.0704,4.9026,2.1975,24.1601
6.9705,5.6336,1.5372,38.0423
5.9790,1.6341,3.4193,52.3967
7.4585,1.2216,3.5370,57.4139
9.1480,5.0766,1.3692,46.4439
4.8122,1.6601,1.0142,36.5641
3.3576,4.4474,3.2067,34.3890
4.8492,0.0580,1.3010,44.1494
5.9103,5.0076,3.3300,41.4647
2.3328,0.7647,2.2330,39.5065
8.7463,5.3935,1.8403,42.5385
3.2458,0.6168,4.1205,50.6309
6.5860,0.9273,4.7195,60.1418
8.7815,5.8572,4.2431,56.1747
7.6291,1.9931,4.7233,62.2135
8.2201,5.1844,4.2430,55.1356
1.9729,5.2330,4.4344,41.1242
3.0019,4.8995,2.8412,32.2020
3.0484,0.1420,1.7725,41.0741
3.9544,5.1861,4.8676,45.3073
4.5971,5.8869,3.1449,40.5587
9.4531,0.6921,4.8816,73.6075
3.3892,0.6504,2.7383,47.1762
7.5569,1.8821,3.4248,54.0631
6.1893,1.5283,3.8351,54.5454
1.0152,5.5535,3.1538,27.0794
7.0357,2.1853,1.2799,39.9044
6.9781,1.9812,2.2557,50.0931
3.7029,1.8557,2.6336,37.9611
4.6216,1.7739,1.5092,33.6945
7.0959,5.4168,3.4621,50.0405
3.7085,3.2876,1.0016,29.0712
6.2199,3.9282,2.8600,47.1663
4.9794,1.2822,2.8927,49.7382
2.5272,0.5088,3.0618,39.7984
6.6965,2.0111,4.2737,57.4570
3.0218,1.1948,1.0977,29.1748
3.2036,2.8508,4.3990,47.7602
6.6679,1.1666,3.7854,57.5117
5.4494,1.4639,3.6242,54.8744
7.9304,0.6395,2.7006,56.1313
2.5830,5.7478,3.0718,33.0520
8.6350,2.7388,4.2057,61.9258
7.0082,5.9274,3.3818,50.0876
6.5139,4.3156,3.0191,44.7045
8.4751,3.2872,4.5888,61.7046
